"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"PLCD3",21.6497311238953,19.0608046657803,11.4806312513134,8.8607517775287,10.6675871960871,10.5780312218849,10.2679888088974,13.3516238830246
"PLCD4",1.54640936599252,3.81216093315605,14.3507890641418,0.681596290579131,0,5.28901561094245,0,1.02704799100189
"PLCE1",0,0.953040233289013,1.43507890641418,3.40798145289565,1.1852874662319,0,0,0
"PLCG1",91.2381525935587,276.381667653814,231.047703932683,937.194899546304,1143.80240491378,108.953721585415,100.626290327195,15.4057198650284
"PLCG2",1628.36906239012,2211.05334123051,1831.16068458449,1285.49060403224,2383.61309459235,1905.10342306147,2486.90688951495,1981.17557464265
"PLCH1",27.8353685878654,0,0,0,0,0,0,0
"PLCH2",4.63922809797756,58.1354542306298,40.182209379597,181.986209584628,187.27541966464,2.11560624437698,51.3399440444871,6.16228794601136
"PLCL1",108.248655619476,228.729655989363,63.1434718822239,101.55784729629,205.054731658119,245.41032434773,288.017086089572,384.115948634708
"PLCL2",3177.87124711463,4006.58114074701,3554.69045118792,3639.72419169256,4283.62890296208,3871.55942720988,4026.59181140912,3879.16026201415
"PLCXD1",593.821196541128,390.746495648495,377.425752386929,560.953747146624,393.51543878899,556.404442271146,737.754995919279,739.474553521363
"PLCXD2",38.660234149813,75.290178429832,93.2801289169217,184.030998456365,187.27541966464,52.8901561094245,77.0099160667306,51.3523995500947
"PLCXD3",1.54640936599252,0,0,0,0,0,0,0
"PLCZ1",0,0,0,0,0,0,0,0
"PLD1",298.457007636556,191.561086891092,357.334647697131,256.280205257753,296.321866557975,354.364045933144,30.8039664266922,210.544838155388
"PLD2",1923.7332512947,1929.90647241025,2037.81204710813,1234.37088223881,1043.05297028407,1800.38091396481,1155.6621404414,1906.20107129951
"PLD3",2896.42474250399,2961.09600482896,3088.28980660331,3397.75750853697,3507.26561258019,3663.17221213874,1924.22110278738,2896.27533462534
"PLD4",361.85979164225,710.014973800315,660.136296950522,169.717476354204,184.904844732176,405.138595798192,77.5233155071755,466.27978791486
"PLD5",0,0,0,0,1.1852874662319,0,0,0
"PLD6",12.3712749279402,1.90608046657803,7.1753945320709,8.8607517775287,22.5204618584061,3.17340936656547,11.2947876897872,5.13523995500947
