"gene","module"
"TPH1","pink"
"LAPTM5","turquoise"
"CXCL9","turquoise"
"MMP9","greenyellow"
"ADAMDEC1","brown"
"PTTG1","brown"
"FBLN1","turquoise"
"ECE2","blue"
"PLEK2","brown"
"H1-3","brown"
"LOC107985362","yellow"
"LOC101927531","blue"
"MAL2","yellow"
"IGKV1D-39","purple"
"SNORA31B","red"
"AMIGO2","turquoise"
"OTC","magenta"
"IGHV1-3","purple"
"PIK3C2G","grey"
"ATP13A4","blue"
"CEP55","brown"
"SNAI2","turquoise"
"CLDN3","blue"
"ADAM28","brown"
"HS6ST2","blue"
"FGFR1","blue"
"RARRES2","blue"
"CYP3A5","yellow"
"SNORD15B","red"
"PITX1","brown"
"SCARNA10","red"
"LOC101928034","turquoise"
"OMD","turquoise"
"STRA6","turquoise"
"GSKIP","brown"
"LOC105369370","brown"
"GAD2","pink"
"SNORD22","red"
"ERRFI1","blue"
"MT-ND4L","cyan"
"H19","green"
"NT5E","brown"
"SNORA2C","red"
"NMNAT2","black"
"ITGAX","turquoise"
"RNF186","blue"
"PRR4","black"
"PDCD4","blue"
"RNU1-2","red"
"C3orf85","magenta"
"SH3D21","yellow"
"FOSL1","black"
"HABP2","blue"
"AQP1","blue"
"RUNX1","turquoise"
"IGKV1-12","purple"
"MIR1291","red"
"ZFP36","black"
"FCGR2A","turquoise"
"SYT13","yellow"
"ENPP1","blue"
"NOS1","blue"
"SIGLEC11","blue"
"FAM83D","brown"
"SLC6A20","yellow"
"NTRK3","green"
"RAB27B","yellow"
"LMOD1","green"
"FXYD5","brown"
"NEURL1","blue"
"UNC79","blue"
"ADAM19","turquoise"
"GFPT2","turquoise"
"MT-ND6","cyan"
"DLGAP5","brown"
"MXRA5","turquoise"
"LIF","turquoise"
"CAPN5","yellow"
"STRIP2","brown"
"TRK-CTT2-2","black"
"CYS1","blue"
"LOC102723517","blue"
"TPM2","turquoise"
"SLC25A25","blue"
"AKR1C2","turquoise"
"GLDN","turquoise"
"MYOCD","green"
"DMD","blue"
"PLAAT5","blue"
"FBN2","brown"
"FERMT1","brown"
"APLP1","blue"
"PCSK1N","pink"
"THBS1","turquoise"
"EMB","brown"
"TMC7","brown"
"MST1R","yellow"
"NMU","brown"
"CFTR-AS1","blue"
"SEMA6D","blue"
