"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AQP8",460.334694636626,-7.98629460853617,1.25740750388312,8.25711799520261e-23,7.37900525455895e-20
"CELP",9475.80319127328,-7.57961507065205,1.22225951950774,1.05457568820063e-22,9.07520967234878e-20
"AMY2A",123693.787354146,-7.45885012287172,1.22385980134104,1.89965764251742e-22,1.57637661871044e-19
"GAMT",96.4811477429792,-3.92889745647912,0.467518199222521,2.8279296716199e-22,2.26575675586512e-19
"CELA3B",30142.9497675252,-7.55990561548258,1.19443981054474,3.90118841522873e-22,3.02147042759465e-19
"AMY1C",2772.50917991486,-6.90836219456503,1.07105972356464,5.03535066732015e-22,3.7740765404898e-19
"FGL1",587.324605220462,-5.56081251313247,0.759229607300498,9.37548249296516e-22,6.80747924137642e-19
"TMPRSS4",369.809720754911,5.91314611614879,0.849649319141483,1.4116554170682e-21,9.93933745926652e-19
"AMY1B",1997.5138703673,-6.93317206097608,1.1502211893535,1.55261876935724e-21,1.06103226782398e-18
"ALB",2943.2052690782,-7.15701766231761,1.23400331416433,2.77580319288318e-21,1.82052599087964e-18
"MATN4",150.128255636639,-5.75334660720376,0.791384921098955,2.82069875927122e-21,1.82052599087964e-18
"ANKRD62",163.019541647666,-5.82118780015768,0.818983156219359,3.06788185304864e-21,1.92654688798879e-18
"CTRL",3563.87229038954,-6.36555916921814,0.966969777652489,6.55910198292833e-21,4.01054564666684e-18
"SERPINB5",327.668130700738,7.25725958363185,1.07281569253474,9.96323457763902e-21,5.9357886002934e-18
"ACADL",132.125703179031,-4.46594171175881,0.593249915137414,1.47667170025042e-20,8.44100802909291e-18
"EGF",590.153701410632,-5.55371365262659,0.856369168446696,1.48948280263744e-20,8.44100802909291e-18
"PRSS2",72785.7788105068,-6.69207905305882,1.19313188616018,1.62087330539201e-20,8.96690267875794e-18
"PLAC8",298.286724416173,4.08902392022353,0.539105778570076,2.08696383910807e-20,1.12768848375991e-17
"AMY2B",48152.4574226068,-7.02689279662033,1.12976319568494,4.25577428794871e-20,2.21048809105776e-17
"AQP12B",456.804023275706,-6.36976798976414,0.958867814494726,4.28112606402407e-20,2.21048809105776e-17
"CELA3A",77353.906579325,-7.39583715257591,1.26938251562556,4.8180294885303e-20,2.43362859056525e-17
"DPP10",87.0671985778907,-5.34579825994867,0.757244998393255,5.90528065063718e-20,2.91934459399053e-17
"LOC105373359",96.1274013453775,-6.00679008635263,0.856720172008681,8.72918767821249e-20,4.22547241048474e-17
"UGT1A10",71.8905030408466,6.44993260002534,0.894904616292863,1.33764517194163e-19,6.34289501429874e-17
"LAMB3",911.522741480744,4.19893198281822,0.585631683656058,1.52365149776981e-19,6.94157697072189e-17
"DTNA",206.012808368903,-2.6262345842445,0.321460329923539,1.50920442820493e-19,6.94157697072189e-17
"LOC101928535",63.7208199986614,-5.61889107982839,0.791009421786211,1.56166500566098e-19,6.97793969356399e-17
"SLC30A2",144.46433967759,-5.68426869782571,0.859203417293186,1.87826859410067e-19,8.08177236739427e-17
"SFN",131.947112313914,5.7624928614126,0.857719731663512,1.84923216283635e-19,8.08177236739427e-17
"PDIA2",2440.07438236313,-6.42729692503995,1.1327599486082,2.27997836410363e-19,9.63187223453596e-17
"SDK1",210.348628447304,-2.42152098623417,0.296055028875902,2.32484207032398e-19,9.64601883999601e-17
"TMED11P",148.633611709466,-5.56193904311987,0.804235938218662,2.74567510147595e-19,1.11922387689112e-16
"ECE2",26.1565473017541,-5.11853517207505,0.684956777468641,3.15437303956675e-19,1.26365271679885e-16
"RBPJL",1479.13614510209,-6.85537870227954,1.22637922832961,3.25740546805297e-19,1.282810441529e-16
"TSPAN1",438.53350156987,4.61029986536165,0.648221196138926,4.54774903179612e-19,1.76111581256305e-16
"GNMT",151.559920647809,-5.47044411654129,0.824197977909643,6.0827870986851e-19,2.31694357767128e-16
"ACSL5",609.20617552787,2.52514910111598,0.312380937012309,8.51350671567278e-19,3.1905052990106e-16
"SLC6A14",467.409795185748,5.28921825839701,0.807008698004136,9.2898252307799e-19,3.42617601963763e-16
"KLK1",3544.30476983961,-6.38284874244173,1.03824810507934,1.02670821580179e-18,3.72743209283667e-16
"GALNT5",412.277791226296,5.37383294517265,0.859852622892545,2.04919081069143e-18,7.32506899791005e-16
"LAMC2",1395.5525247675,4.44503700586697,0.671408610184689,2.3350154963171e-18,8.22031591771633e-16
"VTCN1",80.5706033122948,-3.00215812304704,0.390332835543476,4.53082978424306e-18,1.57125119458041e-15
"RIMS1",59.5709943406027,-4.25275098831207,0.629552454110628,8.25386970207863e-18,2.82027444893819e-15
"ADAM7",43.6482712071711,-5.75952101181088,0.847755243512869,1.06574448445157e-17,3.58877870959887e-15
"CYS1",99.1511738561315,-2.77099919219101,0.368669617470622,1.53977558584088e-17,5.11095510528755e-15
"IGHG1",811.113271054625,4.04999051503997,0.612800997702657,1.61193335758793e-17,5.27510867092331e-15
"LOC105377862",208.648591625961,-3.6456503849276,0.527336546317194,2.4924420344999e-17,8.04331814883404e-15
"IGHG3",198.349137903258,4.27807553658845,0.647295494364982,2.92062489434664e-17,9.2959889616636e-15
"PAIP2B",427.213635144872,-4.14881508435979,0.621870561056616,3.49937395953874e-17,1.09875613445787e-14
"KRT19",1168.29532737384,3.48951221569051,0.506007019205775,4.15084278738064e-17,1.28593109553052e-14
"CORO2A",182.705952230796,3.90117268444896,0.563272607229366,4.22574688635819e-17,1.29191090663859e-14
"LOC105370733",71.4101990139324,-4.62665185567409,0.708535648761076,6.22715764808041e-17,1.87906503835258e-14
"LINC01754",32.9687829147898,-5.5686109003947,0.854306602213784,6.67552693113539e-17,1.98853677237091e-14
"PRSS3",8621.76769556177,-5.67595139911965,1.00500087027943,6.81089304185033e-17,2.00317847882775e-14
"MX2",93.0305816915081,1.9886047161896,0.255579267122178,7.70711301775272e-17,2.23843463709356e-14
"FXYD2",157.295030461839,-3.68887870267827,0.558382567314354,9.79866005685085e-17,2.81076378297444e-14
"105373323",26.6114894653335,-5.21529748956754,0.786904835868438,1.07178834382927e-16,3.03695148400891e-14
"AOX1",700.360514024427,-3.8170315690017,0.585838612660313,1.27770375772815e-16,3.57680082057994e-14
"FER1L4",82.0386126986933,3.39830228209123,0.480035479162659,1.4717452529293e-16,4.07095249426335e-14
"CSMD3",64.6131229136656,-5.61964495297896,0.986812677455305,1.49541211697203e-16,4.08775300445237e-14
"IGHG2",425.476088017459,4.18862896983118,0.657138077894691,1.58144681914408e-16,4.27266474916427e-14
"SLC1A2",272.978687073167,-4.65548512826325,0.761763946501265,1.69892122487245e-16,4.5372913402197e-14
"C19orf33",172.675588548692,4.21108320276726,0.633584505893518,1.74993534516589e-16,4.62042588010563e-14
"NRCAM",465.947236483412,-2.96612626431461,0.426597523728135,2.03705070546838e-16,5.3180756338829e-14
"LOC105379749",116.795772079738,-4.87950662404643,0.809523438983243,2.221493522235e-16,5.73515577657002e-14
"COCH",82.7025409076307,-3.07106817756874,0.443793342212951,2.51011611071367e-16,6.40907119037716e-14
"GRPR",63.4990181397355,-4.55820304168443,0.687498498085004,2.71099800728123e-16,6.84674333686732e-14
