"","GSM3747758","GSM3747759","GSM3747760","GSM3747761","GSM3747762","GSM3747763","GSM3747764","GSM3747765","GSM3747766","GSM3747767","GSM3747768","GSM3747769","GSM3747770","GSM3747771","GSM3747772","GSM3747773","GSM3747774","GSM3747775","GSM3747776","GSM3747777","GSM3747778","GSM3747779","GSM3747780","GSM3747781","GSM3747782","GSM3747783","GSM3747784","GSM3747785","GSM4490231","GSM4490232"
"LOC100288069",22.079594128954,11.9267868467479,39.213585336136,11.3687679724671,45.3150951289205,56.3083131033073,34.4974628340379,18.2555594948942,65.2905734197682,31.2251672690059,32.4759741795891,8.95250953680586,27.7927615656447,11.4556610009128,44.4586517266642,30.0153409603903,26.7630129636086,27.3746081981664,16.9116209341932,19.8243037925009,48.1332961046483,18.1756011966345,25.3664647783677,20.2975503206004,28.2089625705112,38.2749195095701,34.8262942412633,12.9189828868776,7.72031130794349,23.6091662705809
"LINC01409",49.1772778326702,37.1055590787712,44.8155260984411,27.0684951725407,52.2108704746258,30.929918465197,136.877029954408,27.0030150861976,44.1152523106542,32.4996638922306,42.4685816194627,31.3337833788205,59.9281421259213,12.273922500978,46.0464607169022,35.017897787122,120.433558336239,45.624346996944,60.3986461935472,67.1823628523643,69.79327935174,39.6558571562934,44.3913133621434,26.6767804213606,52.7780590028919,38.2749195095701,44.7766640244814,37.1420757997731,23.8962016674441,37.0722445571104
"FAM87B",6.02170748971472,11.485054000572,13.0711951120453,4.33095922760651,10.836218400394,16.6545714812599,7.78974967220211,6.08518649829805,5.2938302772785,14.019462855472,14.9889111598104,3.3571910763022,10.4222855871168,3.27304600026079,14.2902809121421,14.0071591148488,26.7630129636086,7.98426072446519,7.24783754322567,12.1148523176395,9.62665922092966,10.4647400829108,6.34161619459192,4.6394400732801,7.27973227626095,12.4979329010841,9.95036978321809,7.26692787386866,1.83816935903417,10.9265562905168
"LINC00115",6.02170748971472,11.485054000572,9.33656793717523,6.49643884140977,10.836218400394,5.55152382708664,10.0153924356884,9.88842805973433,8.82305046213083,8.28422805096074,2.49815185996839,4.47625476840293,10.4222855871168,5.72783050045638,33.3439887949981,9.00460228811708,20.0722597227065,17.109130123854,6.03986461935472,16.5202531604174,4.81332961046483,9.36318849523593,6.34161619459192,13.3383902106803,7.27973227626095,20.3091409642617,1.65839496386968,8.07436430429851,2.57343710264783,7.9998001412712
"LINC01128",68.2460182167668,74.2111181575423,76.5598570848369,44.9337019864176,79.7939718574469,84.8590070711814,46.7384980332126,29.665284179203,72.3490137894728,57.9895963567252,74.9445557990518,45.8816113761301,53.8484755334365,12.273922500978,107.971011336184,70.035795574244,46.8352726863151,31.9370428978608,51.9428357264506,62.7769620095863,38.5066368837186,72.1516289927004,76.099394335103,33.6359405312807,131.94514750723,119.511483366617,74.6277733741357,30.6825843563343,13.6024532568528,26.34080534321
"LINC02593",2.00723582990491,3.53386276940678,1.86731358743505,4.87232913105733,8.86599687304966,2.37922449732284,0,0.380324156143628,0,15.9312077903091,0,0,8.68523798926396,0,69.8635955704723,2.00102273069269,0,0,0,25.3310548459734,0,4.40620635069926,0,2.89965004580006,17.2893641561198,7.03008725685981,0,0,2.205803230841,2.53652199601282
"LOC107985728",0,1.32519853852754,3.73462717487009,4.87232913105733,10.836218400394,9.51689798929138,0,0.380324156143628,0,29.9506706457811,2.49815185996839,2.23812738420147,8.68523798926396,2.45478450019559,100.031966384994,3.00153409603903,0,0,1.20797292387094,31.9391561101404,0,6.05853373221149,12.6832323891838,2.89965004580006,14.5594645525219,5.4678456442243,1.65839496386968,0,2.57343710264783,7.9998001412712
"SAMD11",20.0723582990491,10.1598554620445,26.1423902240906,35.7304136277537,47.2853166562649,30.929918465197,15.5794993444042,5.70486234215442,33.5275917560972,38.8721470083542,37.4722778995259,44.7625476840293,26.9242377667183,12.273922500978,152.429663062849,35.017897787122,10.0361298613532,9.12486939938879,19.3275667819351,61.6756117988918,4.81332961046483,11.0155158767482,19.0248485837758,26.6767804213606,41.8584605885005,22.652503383215,18.2423446025665,5.65205501300896,12.1319177696255,26.34080534321
"NOC2L",155.56077681763,83.929240773411,156.854341344544,167.283300166302,130.034620804728,163.373415482835,109.056495410829,110.294005281652,176.461009242617,119.802682583125,217.33921181725,70.5010126023462,73.8245229087437,81.8261500065197,165.132134984753,128.065454764332,83.634415511277,71.8583465201867,124.421211158707,87.0066666448652,108.299916235459,69.9485258173508,164.88202105939,97.4282415388821,165.613909284937,74.2064766001869,132.671597109575,52.4833679779403,39.704458155138,115.314192280275
"KLHL17",7.02532540466717,11.485054000572,20.5404494617855,27.0684951725407,12.8064399277384,38.8606667896065,2.22564276348632,11.4097246843088,19.4107110166878,26.7644290877193,27.4796704596523,20.1431464578132,10.4222855871168,17.1834915013691,26.9927528340461,14.0071591148488,13.3815064818043,10.2654780743124,10.8717563148385,11.013502106945,2.40666480523241,6.6093095260489,12.6832323891838,20.8774803297604,2.72989960359786,21.0902617705794,21.5591345303059,11.3041100260179,11.3966500260118,14.4386636696114
