"gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"RPLP2",10913.2729518962,-0.453124823044917,0.10049369560212,1.10338253506127e-06,6.90866716759858e-05
"PGA3",24.0992695532776,-3.08090629304167,0.730813602505947,1.11875967770651e-06,6.97127124170869e-05
"BLOC1S1",2659.92817594543,0.649827476586993,0.148407731545313,1.14526981347012e-06,7.10231677147668e-05
"SLC36A4",408.057966880038,-0.704310362384735,0.162030109988643,1.18186404833524e-06,7.29435234784432e-05
"RMI2",54.4379252503044,2.94025480682894,0.703805878046005,1.20451966035929e-06,7.36404684807392e-05
"VIPR1",924.471933113635,-1.16440632493428,0.275038727920214,1.20350210065301e-06,7.36404684807392e-05
"RGAG4",559.408635166374,0.948433689159646,0.221837457583279,1.21640862553781e-06,7.4018179322045e-05
"APOL6",12325.0442072813,1.57723713891687,0.373124732952293,1.26097012225477e-06,7.63711857688976e-05
"ATF3",375.300240968176,2.01058058820389,0.482144161353453,1.27213265099762e-06,7.66888897189775e-05
"IL27",141.751519113199,1.8723887999454,0.448578727230026,1.28592417377833e-06,7.71614037793564e-05
"SIN3B",4280.29556712331,-0.687389178236428,0.15874375274912,1.29791813793872e-06,7.75221980913537e-05
"ANTXR2",1001.5218780378,-0.684889579118156,0.158321655686895,1.3197034141523e-06,7.84618162882016e-05
"SLC37A1",299.340323365891,0.917361545014863,0.21524902933555,1.32980742928685e-06,7.87015255296205e-05
"RBCK1",2200.50646267293,0.604502937740205,0.138451571665344,1.33771412229573e-06,7.88096033594317e-05
"ZNRF2",1298.49335688332,0.553805681209845,0.126162061409394,1.36420190599907e-06,8.00064294282987e-05
"CD300A",6775.43195802435,0.773622063698245,0.181199231602055,1.37842424109559e-06,8.04763810308106e-05
"ACADM",1480.53934233071,0.403679341369011,0.0898174482358325,1.5251896043852e-06,8.86456612665318e-05
"DOCK4",574.300325490587,0.808982385405455,0.190175239295609,1.53941618260739e-06,8.90730943873859e-05
"EML2",1201.11657577046,0.41843637264793,0.0937951165030474,1.57461991520848e-06,9.07051054267428e-05
"DHCR24",386.934767087214,1.77477054773691,0.428761061019073,1.60803724602081e-06,9.22202245383883e-05
"APOL2",1255.34579518832,1.00700276155747,0.240096250754165,1.62568184908049e-06,9.28214204666619e-05
"LRRC36",13.2348836773295,-2.98506536102944,0.716671208255676,1.69927903744852e-06,9.65980508963609e-05
"ATP8B4",631.494988628891,0.777975368457772,0.183697698078617,1.75372769843164e-06,9.7614934758969e-05
"HES4",247.896834631757,2.16985831409675,0.530288250693202,1.74669690038435e-06,9.7614934758969e-05
"PHACTR2",2452.77046041202,0.771637426108048,0.182013201042437,1.73214007682077e-06,9.7614934758969e-05
"TYMP",41517.3397582088,1.23709801020173,0.294632294302898,1.75482445789984e-06,9.7614934758969e-05
"ZNF780A",553.530778391377,-0.767967556573461,0.181471393453021,1.75012462021442e-06,9.7614934758969e-05
"PSME2",6854.04965668433,1.1032139385685,0.265329710352619,1.80126694433159e-06,9.93456207041777e-05
"ZFAND5",4894.66564629904,0.436440771370384,0.0986966548961578,1.79574126628638e-06,9.93456207041777e-05
