"","SRR26436341","SRR26436342","SRR26436343","SRR26436344","SRR26436345","SRR26436346","SRR26436347","SRR26436348"
"WDR31",0.185828,0.055235,0.217713,0,0,0.06673,0.097827,0.058775
"WDR33",3.371409,2.408832,3.432485,3.110991,2.560338,2.91227,1.79843,3.102575
"WDR34",1.206753,0.905376,1.942531,0.557672,0.650124,0.954736,0.680425,1.272322
"WDR35",0.333433,0.53812,0.58332,0.526681,0.42481,0.547492,0.462192,0.543222
"WDR36",5.813513,4.609586,5.690385,6.582951,4.344119,5.659029,4.174523,4.299332
"WDR37",1.86746,0.914368,1.876045,1.000869,1.429672,0.97785,1.904124,3.487083
"WDR38",0,0,0,0,0,0,0,0
"WDR4",2.613691,4.168407,2.868199,3.782759,3.299207,3.405827,2.952207,3.982597
"WDR41",19.930447,18.5389,17.470032,22.469132,19.909571,20.139722,25.191237,20.692157
"WDR43",11.45557,11.820518,11.389529,12.646386,9.47688,12.824599,6.968278,7.130491
"WDR44",8.701053,7.361425,8.536048,11.826687,9.685742,7.892718,9.640533,9.401921
"WDR45",65.914846,57.258446,60.66325,50.8284,46.744394,63.367671,55.558721,59.77417
"WDR45B",40.463463,36.416679,42.712838,35.235844,28.296164,42.813722,29.859755,41.359891
"WDR46",29.977644,26.176578,25.353354,22.422462,20.484454,27.773143,22.628486,25.407377
"WDR47",7.724128,7.689585,3.33084,3.974654,4.113331,9.124287,6.495058,2.509484
"WDR48",17.734076,18.131854,15.146705,22.935939,20.468239,19.460674,16.627329,14.934711
"WDR49",1.135615,0.987413,0.83268,0.251175,0.344456,0.896438,1.819407,1.475544
"WDR5",19.497491,19.360623,19.28464,13.543829,16.934732,17.631775,17.293243,18.781951
"WDR53",7.575977,4.293332,7.035372,4.645009,7.236143,7.433628,7.902422,6.142927
"WDR54",3.112081,2.776222,3.109013,2.065895,1.634368,3.886827,1.436168,2.195924
"WDR55",18.422486,17.938187,17.689818,19.347859,15.780537,18.017781,17.285718,17.561007
"WDR59",10.297657,7.61976,10.901517,7.729337,9.84468,9.826319,7.948889,9.388969
"WDR5B",0.081183,0.080401,0.255359,0.164355,0.153928,0.035868,0.036858,0.05145
"WDR6",44.493853,45.39149,46.003045,24.175015,32.371787,44.005763,31.714717,59.304012
"WDR60",4.538888,7.684852,2.711061,1.659176,5.952287,2.919542,3.139571,3.02688
"WDR61",40.66626,33.331986,38.080192,30.421795,30.331145,36.716898,27.015035,36.323348
"WDR62",0.068102,0.024155,0,0.155592,0.0406,0.096071,0.055686,0.046133
